N,Title,Nchar
1,"Analysis of 245,388 Diverse Participants in the NIH All of Us Cohort Identifies VEXAS Resiliency in UBA1 M41L Somatic Mutation Carriers",135
2,Mutational Analysis of UNC93B1 Identifies Regulatory Regions Mutated in Human SLE,81
3,Efficacy and Safety of Targeted Therapies in VEXAS Syndrome: Retrospective Study from the French VEXAS Group,108
4,"EP-104IAR (Extended-Release Fluticasone Propionate for Injectable Suspension): Topline and Key Secondary Results from a Phase 2 Randomized, Double-blind, Vehicle-Controlled Trial in Subjects with Knee Osteoarthritis",215
5,DICKENS: A Multicentre Randomised Controlled Trial of Diacerein for Knee Osteoarthritis with Effusion-Synovitis,111
6,Improvement in Clinical and Patient-Reported Outcomes for Refractory Juvenile-Onset Systemic Sclerosis (jSSc) 6 Months to 2 Years After Autologous Stem Cell Transplantation (ASCT),179
7,3-year Results of Tapering TNFi to Withdrawal Compared to Stable TNFi Among Rheumatoid Arthritis Patients in Sustained Remission: A Multicenter Randomized Trial,160
8,"Early Clinical Development of CIT-013, a First in Class NETosis Inhibitor, in a Randomized Phase I Dose Escalation Study in Healthy Volunteers Demonstrating Potent Inhibition of LPS Induced Neutrophil Extracellular Trap Formation",229
9,Efficacy and Safety of LNK01001 in Chinese Patients with Moderate to Severe Active Rheumatoid Arthritis with an Inadequate Response to Conventional Synthetic DMARDs: 24-week Results from a Phase 2 Trial,202
10,"Dazodalibep, a CD40L Antagonist, in a Phase 2, Randomized, Double-Blind, Placebo-Controlled, Crossover Trial of Subjects with Sjögren’s Disease Having Unacceptable Symptomatic Burden but Limited Extraglandular Organ Involvement",227
11,Risk of Cardiovascular Events According to Biological Agent Exposure in Patients with Ankylosing Spondylitis: A Korean Population-based Study,141
12,"Efficacy and Safety Outcomes of TAK-279, a Selective Oral Tyrosine Kinase 2 (TYK2) Inhibitor, from a Randomized, Double-blind, Placebo-controlled Phase 2b Trial in Patients with Active Psoriatic Arthritis",204
13,"An Open-label, Multicenter, Phase 1/2 Study to Assess Safety, Efficacy and Cellular Kinetics of YTB323, a Rapid Manufacturing CAR-T Cell Therapy Targeting CD19 on B Cells, for Severe Refractory Systemic Lupus Erythematosus: Preliminary Results",243
14,Efficacy and Safety of Benralizumab Compared with Mepolizumab in the Treatment of Eosinophilic Granulomatosis with Polyangiitis in Patients Receiving Standard of Care Therapy: Phase 3 MANDARA Study,197
15,"AR882, an Efficacious and Selective URAT1 Inhibitor for Patients with Chronic Gouty Arthritis and Subcutaneous Tophi: Results from a Global, Prospective, Proof-of-Concept Trial Using Dual Energy Computed Tomography",214
16,"Withdrawal of Immunosuppressant and Low-dose Steroids in IgG4-RD Patients with Stable Disease (WInS IgG4-RD): An Investigator-initiated, Multi-center, Open-label, Randomized Controlled Trial",190
17,"Safety, Tolerability, and Exploratory Efficacy of Afimetoran, a TLR7/8 Inhibitor, in Patients with Cutaneous Lupus Erythematosus: A Phase 1b Randomized, Double-Blind, Placebo-Controlled Study",191
